NOTE
Two test results are shown here, for two different metrics during training:
1. NDCG@10 (result: 0.9663)
2. ERR@10 (result: 0.9663) (RankLib's default metric)



java -jar RankLib-2.14.jar -train ../data/final/model2_train.txt -test ../data/final/model2_test.txt -validate ../data/final/model2_validate.txt -ranker 2 -metric2t NDCG@10 -metric2T NDCG@10 -save ../model_rankboost/model2_rankboost.txt


Discard orig. features
Training data:	../data/final/model2_train.txt
Test data:	../data/final/model2_test.txt
Validation data:	../data/final/model2_validate.txt
Feature vector representation: Dense.
Ranking method:	RankBoost
Feature description file:	Unspecified. All features will be used.
Train metric:	NDCG@10
Test metric:	NDCG@10
Feature normalization: No
Model file: ../model_rankboost/model2_rankboost.txt

[+] RankBoost's Parameters:
No. of rounds: 300
No. of threshold candidates: 10

Reading feature file [../data/final/model2_train.txt]... [Done.]            
(152 ranked lists, 7600 entries read)
Reading feature file [../data/final/model2_validate.txt]... [Done.]            
(75 ranked lists, 3750 entries read)
Reading feature file [../data/final/model2_test.txt]... [Done.]            
(77 ranked lists, 3850 entries read)
Initializing... [Done]
------------------------------------------
Training starts...
--------------------------------------------------------------------
#iter   | Sel. F.  | Threshold | Error     | NDCG@10-T | NDCG@10-V | 
--------------------------------------------------------------------
159     | 28       | 0.9       | 0.0401    | 0.9412    | 0.9157    | 
160     | 20       | 5.897     | 0.0392    | 0.9412    | 0.9157    | 
161     | 14       | 0.9       | 0.0393    | 0.9412    | 0.9157    | 
162     | 28       | 0.9       | 0.0392    | 0.9412    | 0.9157    | 
163     | 25       | 0.9       | 0.0391    | 0.9412    | 0.9157    | 
164     | 24       | 0.9       | 0.0399    | 0.9412    | 0.9157    | 
165     | 25       | 0.9       | 0.039     | 0.9412    | 0.9157    | 
166     | 28       | 0.9       | 0.0386    | 0.9412    | 0.9157    | 
167     | 20       | 5.897     | 0.038     | 0.9412    | 0.9157    | 
168     | 25       | 0.9       | 0.0376    | 0.9412    | 0.9157    | 
169     | 24       | 0.9       | 0.0376    | 0.9412    | 0.916     | 
170     | 28       | 0.9       | 0.038     | 0.9412    | 0.916     | 
171     | 25       | 0.9       | 0.0376    | 0.9412    | 0.916     | 
172     | 6        | 3.7568    | 0.0376    | 0.9412    | 0.916     | 
173     | 20       | 5.897     | 0.0368    | 0.9412    | 0.916     | 
174     | 28       | 0.9       | 0.0368    | 0.9412    | 0.916     | 
175     | 25       | 0.9       | 0.0364    | 0.9412    | 0.916     | 
176     | 24       | 0.9       | 0.0364    | 0.9412    | 0.916     | 
177     | 25       | 0.9       | 0.0363    | 0.9412    | 0.916     | 
178     | 28       | 0.9       | 0.0363    | 0.9412    | 0.916     | 
179     | 20       | 5.897     | 0.0356    | 0.9412    | 0.916     | 
180     | 17       | 1.5296    | 0.0355    | 0.9412    | 0.916     | 
181     | 28       | 0.9       | 0.0353    | 0.9412    | 0.916     | 
182     | 25       | 0.9       | 0.0353    | 0.9412    | 0.916     | 
183     | 21       | 0.9       | 0.0359    | 0.9412    | 0.916     | 
184     | 25       | 0.9       | 0.0352    | 0.9412    | 0.916     | 
185     | 28       | 0.9       | 0.0348    | 0.9412    | 0.916     | 
186     | 24       | 0.9       | 0.0344    | 0.9412    | 0.916     | 
187     | 25       | 0.9       | 0.0352    | 0.9412    | 0.916     | 
188     | 28       | 0.9       | 0.0343    | 0.9412    | 0.916     | 
189     | 14       | 0.9       | 0.0348    | 0.9412    | 0.916     | 
190     | 20       | 4.9141    | 0.0341    | 0.9412    | 0.916     | 
191     | 25       | 0.9       | 0.0343    | 0.9412    | 0.916     | 
